"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 05 10:54:49 IST 2023","Thu Jan 05 10:55:13 IST 2023","24100","","Validate application Customer Details-Contact's Name Functionality","","To validate application 2nd Contact's Name","","To validate application 2nd Contact's Name",""
"passed","Thu Jan 05 10:56:40 IST 2023","Thu Jan 05 10:56:47 IST 2023","6928","","Validate application Customer Details-Job Location Functionality","","To validate application Job Location functionality","","To validate application Job Location functionality",""
"passed","Thu Jan 05 10:50:54 IST 2023","Thu Jan 05 10:51:52 IST 2023","58365","","Validate application login Page with India Region functionality","","To validate application login page with Indian Region","","To validate application login page with Indian Region",""
"passed","Thu Jan 05 10:56:01 IST 2023","Thu Jan 05 10:56:13 IST 2023","12022","","Validate application Customer Details-Job Level Functionality","","To validate application Job Level","","To validate application Job Level",""
"passed","Thu Jan 05 10:55:13 IST 2023","Thu Jan 05 10:55:37 IST 2023","23948","","Validate application Customer Details-Contact's Email Functionality","","To validate application 1st Contact's Email","","To validate application 1st Contact's Email",""
"passed","Thu Jan 05 10:56:13 IST 2023","Thu Jan 05 10:56:29 IST 2023","15722","","Validate application Customer Details-Job Department Functionality","","To validate application Job Department functionality","","To validate application Job Department functionality",""
"passed","Thu Jan 05 10:55:37 IST 2023","Thu Jan 05 10:56:01 IST 2023","23510","","Validate application Customer Details-Contact's Email Functionality","","To validate application 2nd Contact's Email","","To validate application 2nd Contact's Email",""
"passed","Thu Jan 05 10:56:29 IST 2023","Thu Jan 05 10:56:40 IST 2023","11467","","Validate application Customer Details-Job Title Functionality","","To validate application Job Title","","To validate application Job Title",""
"passed","Thu Jan 05 10:52:47 IST 2023","Thu Jan 05 10:53:41 IST 2023","54138","","Validate application login Page with UK Region functionality","","To validate application login page with UK Region","","To validate application login page with UK Region",""
"passed","Thu Jan 05 10:51:52 IST 2023","Thu Jan 05 10:52:47 IST 2023","54516","","Validate application login Page with US Region functionality","","To validate application login page with US Region","","To validate application login page with US Region",""
"passed","Thu Jan 05 10:54:26 IST 2023","Thu Jan 05 10:54:49 IST 2023","23647","","Validate application Customer Details-Contact's Name Functionality","","To validate application 1st Contact's Name","","To validate application 1st Contact's Name",""
"passed","Thu Jan 05 10:53:41 IST 2023","Thu Jan 05 10:54:26 IST 2023","44766","","Validate application Customer Details-login page","","To validate application login page","","To validate application login page",""
